year,quarter,type1_attendances,type2_attendances,type3_attendances,total_attendances,type1_under_4hrs,type2_under_4hrs,type3_under_4hrs,total_under_4hrs,type1_over_4hrs,type2_over_4hrs,type3_over_4hrs
2004-05,,3377850,159966,964762,4502578,3145740,157354,961457,4264551,232110,2612,3305
2005-06,,3520931,165801,1172846,4859578,3437086,165059,1172291,4774436,83845,742,555
2006-07,,3509770,169389,1212565,4891724,3429943,168826,1211878,4810647,79827,563,687
2007-08,,3463473,168274,1292579,4924326,3380409,167727,1290359,4838495,83064,547,2220
2008-09,,3419655,173141,1394658,4987454,3338469,172550,1393266,4904285,81186,591,1392
2009-10,,3546638,177808,1567197,5291643,3474720,177469,1564761,5216950,71918,339,2436
2010-11,,3598903,166703,1758227,5523833,3514485,166303,1756373,5437161,84418,400,1854
2011-12,,3586381,165665,1749691,5501737,3427125,164797,1747467,5339389,159256,868,2224
2012-13,,3623761,162078,1801868,5587707,3439278,161567,1799110,5399955,184483,511,2758
2013-14,,3620189,163624,1770314,5554127,3382636,162808,1767398,5312842,237553,816,2916
2014-15,,3765239,161484,1871177,5797900,3485930,160826,1866583,5513339,279309,658,4594
2015-16,,3702458,159697,1850023,5712178,3373413,158419,1843258,5375090,329045,1278,6765
2016-17,,3849762,154719,1892442,5896923,3288726,153037,1882797,5324560,561036,1682,9645
2017-18,,3897917,149199,1963491,6010607,3331058,147491,1949311,5427860,566859,1708,14180
2018-19,,3907798,146110,2188861,6242769,3297562,143469,2173554,5614585,610236,2641,15307
2019-20,,4034294,149156,2208708,6392158,2916144,132401,2082201,5130746,808305,2220,23703
2020-21,,2630070,77099,881845,3589014,2078287,67205,808698,2954190,238619,253,2835
2021-22,,4091493,113272,1894141,6098906,2722199,90573,1707605,4520377,861523,1538,39606
2022-23,,4150465,120682,2182393,6453540,2157122,98740,1917117,4172979,1482076,3545,106217
2023-24,,4060969,134654,2310062,6505685,2152680,109110,2038727,4300517,1395697,4743,93422
2024-25,,4250407,152123,2548495,6951025,2558604,146354,2462241,5167199,1691803,5769,86254
2025-26,,4270656,152275,2623600,7046531,2607524,145666,2549475,5302665,1663132,6609,74125
